,Seed,Precisão
0,0,0.7981927710843374
1,0,0.7832661290322581
2,0,0.7686868686868686
3,0,0.756838905775076
4,0,0.7525354969574036
5,0,0.7515274949083504
6,0,0.7306122448979592
7,0,0.7267144319344934
0,1,0.7885771543086172
1,1,0.7811244979919679
2,1,0.7679112008072654
3,1,0.7644084934277048
4,1,0.7467071935157041
5,1,0.7421319796954314
6,1,0.744138634046891
7,1,0.7436159346271706
0,2,0.7905811623246493
1,2,0.7818181818181819
2,2,0.7677484787018256
3,2,0.7609359104781281
4,2,0.745658835546476
5,2,0.742827868852459
6,2,0.7379239465570401
7,2,0.7116374871266735
0,3,0.7963891675025075
1,3,0.7788944723618091
2,3,0.7736418511066399
3,3,0.7610887096774194
4,3,0.7482305358948432
5,3,0.7416073245167853
6,3,0.7370030581039755
7,3,0.7269938650306749
0,4,0.7897897897897898
1,4,0.7801204819277109
2,4,0.7716297786720322
3,4,0.7643504531722054
4,4,0.751008064516129
5,4,0.7510121457489879
6,4,0.7357723577235772
7,4,0.7306122448979592
0,5,0.7967967967967968
1,5,0.7819095477386935
2,5,0.778672032193159
3,5,0.7644084934277048
4,5,0.7565922920892495
5,5,0.744138634046891
6,5,0.7423312883435583
7,5,0.7366803278688525
0,6,0.7975951903807615
1,6,0.7901606425702812
2,6,0.7658930373360242
3,6,0.757085020242915
4,6,0.7563451776649747
5,6,0.7448979591836735
6,6,0.744114636642784
7,6,0.7307297019527236
0,7,0.7913741223671013
1,7,0.7849246231155779
2,7,0.772635814889336
3,7,0.7578203834510595
4,7,0.7477203647416414
5,7,0.7426246185147508
6,7,0.7392638036809815
7,7,0.7271794871794872
0,8,0.7975951903807615
1,8,0.7791164658634538
2,8,0.7683786505538771
3,8,0.7608476286579213
4,8,0.75
5,8,0.741869918699187
6,8,0.7326530612244898
7,8,0.7300613496932515
0,9,0.792964824120603
1,9,0.7824773413897281
2,9,0.7692307692307693
3,9,0.7591463414634146
4,9,0.7494908350305499
5,9,0.7420675537359263
6,9,0.7276464542651593
7,9,0.7298969072164948
0,10,0.7973921765295887
1,10,0.7814702920443102
2,10,0.7717171717171717
3,10,0.7560728744939271
4,10,0.7431472081218274
5,10,0.744138634046891
6,10,0.7313585291113381
7,10,0.7387295081967213
0,11,0.7935871743486974
1,11,0.7839195979899497
2,11,0.7759838546922301
3,11,0.7603640040444893
4,11,0.7482305358948432
5,11,0.7396149949341438
6,11,0.7311608961303462
7,11,0.726530612244898
0,12,0.7945891783567134
1,12,0.7803410230692076
2,12,0.7736418511066399
3,12,0.7590725806451613
4,12,0.7553083923154702
5,12,0.7474645030425964
6,12,0.7355035605289929
7,12,0.7372188139059305
0,13,0.794383149448345
1,13,0.7710843373493976
2,13,0.7590725806451613
3,13,0.7419028340080972
4,13,0.72920892494929
5,13,0.7070193285859614
6,13,0.7024539877300614
7,13,0.6953846153846154
0,14,0.7907444668008048
1,14,0.783484390735146
2,14,0.7735085945399394
3,14,0.7667342799188641
4,14,0.7566191446028513
5,14,0.7484662576687117
6,14,0.7330595482546202
7,14,0.7232510288065843
0,15,0.7949748743718593
1,15,0.7803643724696356
2,15,0.7705583756345178
3,15,0.7586558044806517
4,15,0.7507660878447395
5,15,0.7492323439099283
6,15,0.7535934291581109
7,15,0.7281153450051493
0,16,0.794383149448345
1,16,0.783702213279678
2,16,0.7776659959758552
3,16,0.768920282542886
4,16,0.7558257345491388
5,16,0.7515212981744422
6,16,0.7469512195121951
7,16,0.7387755102040816
0,17,0.7939698492462312
1,17,0.7885196374622356
2,17,0.7644084934277048
3,17,0.7715736040609137
4,17,0.7586558044806517
5,17,0.7502558853633572
6,17,0.7364102564102564
7,17,0.741503604531411
0,18,0.7923771313941825
1,18,0.7798994974874371
2,18,0.7721774193548387
3,18,0.7510121457489879
4,18,0.7383367139959433
5,18,0.7431192660550459
6,18,0.7334014300306435
7,18,0.7359263050153532
0,19,0.7883650952858575
1,19,0.7839195979899497
2,19,0.7661290322580645
3,19,0.750252780586451
4,19,0.7489878542510121
5,19,0.7411167512690355
6,19,0.7314343845371313
7,19,0.7272727272727273
0,20,0.7985971943887775
1,20,0.7875751503006012
2,20,0.7816901408450704
3,20,0.7727272727272727
4,20,0.7492416582406471
5,20,0.7540485829959515
6,20,0.7360406091370558
7,20,0.7378048780487805
0,21,0.7955911823647295
1,21,0.7839195979899497
2,21,0.7772177419354839
3,21,0.7694641051567239
4,21,0.756838905775076
5,21,0.7398373983739838
6,21,0.7352342158859471
7,21,0.7166156982670744
0,22,0.7927927927927928
1,22,0.7791164658634538
2,22,0.7766599597585513
3,22,0.7618567103935419
4,22,0.7472194135490394
5,22,0.7489837398373984
6,22,0.7400611620795107
7,22,0.7382413087934561
0,23,0.7963891675025075
1,23,0.7847082494969819
2,23,0.771399798590131
3,23,0.763874873864783
4,23,0.7472194135490394
5,23,0.7431472081218274
6,23,0.7433808553971487
7,23,0.7459016393442623
0,24,0.7963891675025075
1,24,0.7857142857142857
2,24,0.7764350453172205
3,24,0.7694641051567239
4,24,0.7467071935157041
5,24,0.7327235772357723
6,24,0.7253306205493387
7,24,0.7263479145473042
0,25,0.7961847389558233
1,25,0.7830474268415741
2,25,0.7730496453900709
3,25,0.7611788617886179
4,25,0.7525458248472505
5,25,0.7436159346271706
6,25,0.7379733879222109
7,25,0.7220512820512821
0,26,0.7893681043129388
1,26,0.7809045226130653
2,26,0.768920282542886
3,26,0.7575757575757576
4,26,0.7484787018255578
5,26,0.7441624365482233
6,26,0.7230142566191446
7,26,0.7119509703779366
0,27,0.7987987987987988
1,27,0.7925851703406813
2,27,0.7823470411233701
3,27,0.7676056338028169
4,27,0.7616161616161616
5,27,0.7441860465116279
6,27,0.7398785425101214
7,27,0.7274569402228976
0,28,0.7985971943887775
1,28,0.7768844221105528
2,28,0.7824773413897281
3,28,0.7721774193548387
4,28,0.7532861476238625
5,28,0.7378542510121457
6,28,0.745417515274949
7,28,0.7242083758937692
0,29,0.7961847389558233
1,29,0.7762096774193549
2,29,0.7720364741641338
3,29,0.7672764227642277
4,29,0.7556008146639511
5,29,0.7502548419979612
6,29,0.7336065573770492
7,29,0.7351129363449692
0,30,0.7925851703406813
1,30,0.7819095477386935
2,30,0.7830474268415741
3,30,0.7616632860040567
4,30,0.7596741344195519
5,30,0.7459183673469387
6,30,0.744114636642784
7,30,0.7323076923076923
0,31,0.7915831663326653
1,31,0.7847082494969819
2,31,0.7739656912209889
3,31,0.7601214574898786
4,31,0.7522842639593909
5,31,0.7408163265306122
6,31,0.7385086823289071
7,31,0.7377049180327869
0,32,0.7915831663326653
1,32,0.7855711422845691
2,32,0.7748743718592965
3,32,0.763874873864783
4,32,0.7553083923154702
5,32,0.7434077079107505
6,32,0.733739837398374
7,32,0.7326530612244898
0,33,0.802
1,33,0.7903711133400201
2,33,0.7758793969849246
3,33,0.7676056338028169
4,33,0.756811301715439
5,33,0.7479757085020243
6,33,0.7365754812563323
7,33,0.733739837398374
0,34,0.7915831663326653
1,34,0.7871485943775101
2,34,0.780241935483871
3,34,0.7684529828109201
4,34,0.7537993920972644
5,34,0.7543147208121828
6,34,0.7413441955193483
7,34,0.7377551020408163
0,35,0.7889447236180904
1,35,0.7862903225806451
2,35,0.771255060728745
3,35,0.757884028484232
4,35,0.7520408163265306
5,35,0.7415730337078652
6,35,0.7407786885245902
7,35,0.7330595482546202
0,36,0.7917917917917918
1,36,0.7793380140421263
2,36,0.7701612903225806
3,36,0.7661943319838057
4,36,0.7474645030425964
5,36,0.7472081218274111
6,36,0.7341513292433538
7,36,0.7258726899383984
0,37,0.7975951903807615
1,37,0.7788944723618091
2,37,0.7716297786720322
3,37,0.7613751263902933
4,37,0.7520242914979757
5,37,0.7433808553971487
6,37,0.7428571428571429
7,37,0.7305327868852459
0,38,0.7903711133400201
1,38,0.7798994974874371
2,38,0.7618090452261307
3,38,0.7525150905432596
4,38,0.7479757085020243
5,38,0.731237322515213
6,38,0.7304170905391658
7,38,0.7272727272727273
0,39,0.7905811623246493
1,39,0.7831325301204819
2,39,0.7716297786720322
3,39,0.7631048387096774
4,39,0.7494949494949495
5,39,0.7454361054766734
6,39,0.7326530612244898
7,39,0.7243852459016393
0,40,0.7927927927927928
1,40,0.7811244979919679
2,40,0.7792338709677419
3,40,0.7644084934277048
4,40,0.7598784194528876
5,40,0.7464358452138493
6,40,0.7313585291113381
7,40,0.7213114754098361
0,41,0.7993981945837513
1,41,0.778672032193159
2,41,0.7747474747474747
3,41,0.7728194726166329
4,41,0.7568667344862665
5,41,0.7566462167689162
6,41,0.7456410256410256
7,41,0.741503604531411
0,42,0.7973921765295887
1,42,0.7833500501504513
2,42,0.7724068479355488
3,42,0.763874873864783
4,42,0.7540485829959515
5,42,0.7373225152129818
6,42,0.7314343845371313
7,42,0.7334014300306435
0,43,0.7961847389558233
1,43,0.7840565085771948
2,43,0.7728194726166329
3,43,0.7650050864699899
4,43,0.746177370030581
5,43,0.7395301327885597
6,43,0.7213114754098361
7,43,0.7186858316221766
0,44,0.7925851703406813
1,44,0.7824773413897281
2,44,0.7737373737373737
3,44,0.7606490872210954
4,44,0.7472081218274111
5,44,0.7428571428571429
6,44,0.742827868852459
7,44,0.7314814814814815
0,45,0.7915831663326653
1,45,0.771859296482412
2,45,0.7527638190954774
3,45,0.7449596774193549
4,45,0.7393509127789046
5,45,0.7334689725330621
6,45,0.7206931702344547
7,45,0.7129724208375894
0,46,0.7957957957957958
1,46,0.7806841046277666
2,46,0.7661290322580645
3,46,0.7611336032388664
4,46,0.7497467071935157
5,46,0.7426545086119554
6,46,0.7321792260692465
7,46,0.7259713701431493
0,47,0.7873620862587764
1,47,0.7816901408450704
2,47,0.7706237424547284
3,47,0.7598385469223007
4,47,0.7424242424242424
5,47,0.7416413373860182
6,47,0.725050916496945
7,47,0.7186544342507645
0,48,0.7895791583166333
1,48,0.7833500501504513
2,48,0.771399798590131
3,48,0.7661290322580645
4,48,0.7532861476238625
5,48,0.7436419125127162
6,48,0.7354443309499489
7,48,0.7274590163934426
0,49,0.7969849246231155
1,49,0.7830474268415741
2,49,0.7700101317122594
3,49,0.7599186164801628
4,49,0.7602040816326531
5,49,0.7446153846153846
6,49,0.7371134020618557
7,49,0.7326424870466322
0,50,0.7975951903807615
1,50,0.7806841046277666
2,50,0.7737373737373737
3,50,0.766260162601626
4,50,0.7533129459734964
5,50,0.7471852610030706
6,50,0.7389516957862282
7,50,0.7281153450051493
0,51,0.7871485943775101
1,51,0.7628657921291625
2,51,0.7633973710819009
3,51,0.7484787018255578
4,51,0.7342158859470469
5,51,0.7336734693877551
6,51,0.7256908904810645
7,51,0.7195496417604913
0,52,0.7911646586345381
1,52,0.7854984894259819
2,52,0.7727272727272727
3,52,0.770242914979757
4,52,0.7565922920892495
5,52,0.7439024390243902
6,52,0.7342158859470469
7,52,0.7268093781855249
0,53,0.7843530591775326
1,53,0.7796780684104627
2,53,0.7780020181634713
3,53,0.7585858585858586
4,53,0.7507598784194529
5,53,0.7431472081218274
6,53,0.7270875763747454
7,53,0.7295918367346939
0,54,0.7965931863727455
1,54,0.7809045226130653
2,54,0.7721774193548387
3,54,0.7610887096774194
4,54,0.7441860465116279
5,54,0.725609756097561
6,54,0.7317073170731707
7,54,0.7334014300306435
0,55,0.7977977977977978
1,55,0.7829145728643216
2,55,0.770392749244713
3,55,0.7681451612903226
4,55,0.7560728744939271
5,55,0.7540650406504065
6,55,0.7426246185147508
7,55,0.7329255861365953
0,56,0.79839518555667
1,56,0.7806841046277666
2,56,0.7623363544813696
3,56,0.7620967741935484
4,56,0.7573306370070778
5,56,0.7525354969574036
6,56,0.7408536585365854
7,56,0.7334689725330621
0,57,0.7941767068273092
1,57,0.7913306451612904
2,57,0.7771023302938197
3,57,0.7510162601626016
4,57,0.7413441955193483
5,57,0.7321063394683026
6,57,0.7230769230769231
7,57,0.7191358024691358
0,58,0.7931726907630522
1,58,0.7772177419354839
2,58,0.7750759878419453
3,58,0.7606924643584522
4,58,0.745658835546476
5,58,0.7292307692307692
6,58,0.7263374485596708
7,58,0.718266253869969
0,59,0.7903711133400201
1,59,0.778672032193159
2,59,0.7780020181634713
3,59,0.7598784194528876
4,59,0.75
5,59,0.746177370030581
6,59,0.736949846468782
7,59,0.7340862422997947
0,60,0.7935871743486974
1,60,0.7806841046277666
2,60,0.7752016129032258
3,60,0.7555555555555555
4,60,0.745694022289767
5,60,0.742393509127789
6,60,0.7347560975609756
7,60,0.7321792260692465
0,61,0.7955911823647295
1,61,0.7857142857142857
2,61,0.7711693548387096
3,61,0.7633973710819009
4,61,0.7543147208121828
5,61,0.7443991853360489
6,61,0.745658835546476
7,61,0.7351738241308794
0,62,0.7903711133400201
1,62,0.7796780684104627
2,62,0.7684529828109201
3,62,0.7571138211382114
4,62,0.7558733401430031
5,62,0.7430910951893551
6,62,0.7430910951893551
7,62,0.7238193018480493
0,63,0.7953861584754263
1,63,0.7869346733668342
2,63,0.7806841046277666
3,63,0.7658930373360242
4,63,0.757606490872211
5,63,0.75
6,63,0.7416073245167853
7,63,0.7397959183673469
0,64,0.7933801404212638
1,64,0.7816901408450704
2,64,0.7727272727272727
3,64,0.7669706180344478
4,64,0.7510162601626016
5,64,0.745658835546476
6,64,0.745398773006135
